Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
В Карелию летом на 4 дня,Карелия,Лето,10,16,653280.0,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,1,10,38520.0,5
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,12,19,849144.0,5
Исторические городки Поволжья,Татарстан,Весна,2,5,47600.0,4
Ольхон — сердце Байкала,Байкал,Лето,1,21,93790.0,4
Скандинавская сказка: тур по Карелии,Республика Карелия,Лето,2,14,116824.0,2
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,9,3,170352.0,2
Исторические городки Поволжья,Татарстан,Весна,5,5,119000.0,3
Загадочная Москва: исторический тур,Москва,Весна,10,13,427600.0,3
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Лето,11,18,715682.0,3
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Лето,14,10,735840.0,5
Поход к подножию Белухи. Алтай,Алтай,Лето,6,18,433464.0,5
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Весна,6,7,191040.0,5
Карельские узоры,Карелия,Лето,2,13,109908.0,3
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,6,4,155760.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,9,18,772992.0,4
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Лето,11,3,210947.0,2
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Осень,6,6,158208.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,1,11,41372.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,6,8,225984.0,1
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,12,8,528576.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,2,9,71840.0,3
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,7,8,222768.0,4
Большое путешествие по Смоленской земле,Смоленская область,Осень,6,8,190944.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Осень,2,16,154912.0,1
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Осень,3,15,175080.0,4
Саяны: осенние краски,Республика Тыва,Осень,5,15,310400.0,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,3,16,247056.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Весна,2,16,119840.0,4
Карельские узоры,Карелия,Лето,1,21,82618.0,4
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,13,21,928798.0000000002,1
Волшебный лед Ольхона,Байкал,Зима,6,14,369960.0,3
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,4,17,311320.0,4
В Карелию летом на 4 дня,Карелия,Лето,1,7,34206.0,5
Ледниковый период на зимнем Байкале,Байкал,Зима,14,16,966560.0,2
Природа и культура Вологодчины,Вологодская область,Осень,14,14,674688.0000000001,5
Я шагаю по Москве. Сокращённая программа,Москва,Осень,12,5,276240.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Осень,6,16,333792.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,11,17,626120.0,3
Сибирские каникулы,Сибирь,Зима,8,20,631040.0,4
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,11,3,232892.0,3
Сплав по реке Верхняя Шуя,Карелия,Лето,11,21,908798.0,2
В Карелию летом на 4 дня,Карелия,Лето,12,17,825432.0,4
Калининградская осень: природа и история,Калининградская область,Осень,11,15,601040.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,5,12,228560.0,3
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,3,12,149556.00000000003,4
Знакомство с Сахалином,Сахалин,Лето,9,4,243216.0,4
Сплав по реке к Байкалу,Байкал,Лето,3,18,245460.0,4
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Лето,7,13,384678.0,2
В Карелию летом на 4 дня,Карелия,Лето,6,19,454212.0,4
Саяны: осенние краски,Республика Тыва,Осень,2,16,131104.0,4
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,3,16,221520.0,3
Тайга и народные традиции Сибири,Алтай,Осень,10,12,486880.0,3
Золотая осень в Карелии,Карелия,Осень,6,17,388848.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Весна,7,18,463120.0,5
Байкал: активный тур на круглый год,Байкал,Лето,1,19,85810.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,12,20,774720.0,2
Нижегородские усадьбы,Нижегородская область,Лето,4,4,86816.0,1
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,14,18,775040.0,5
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Осень,13,8,465296.0,2
Кавказ стал ближе,Кавказ,Весна,1,9,38080.0,4
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,3,21,231096.0,4
Кавказ стал ближе,Кавказ,Весна,1,3,19360.0,5
Зимние узоры Байкала,Байкал,Зима,3,16,207120.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,10,7,284800.0,2
Золотая осень в Карелии,Карелия,Осень,12,4,274752.0,5
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,11,13,500104.00000000006,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,5,20,362000.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,2,12,106400.0,5
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,6,20,414240.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,8,7,259088.0,3
Зеленая весна в Краснодаре,Краснодарский край,Весна,1,12,43119.99999999999,2
Байкал: активный тур на круглый год,Байкал,Зима,5,19,400550.0,3
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,9,14,626256.0,3
Ледовый экспресс Байкала,Байкал,Зима,5,8,197600.0,2
Сокровища Карелии и Соловки,Карелия,Лето,10,21,826180.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,14,13,707840.0,2
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,1,20,100440.0,2
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,5,14,366540.0,3
Калмыкия на 100%,Калмыкия,Весна,9,9,342720.0,3
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,3,9,119667.0,5
Активный треккинг на Байкале,Байкал,Лето,2,8,83840.0,5
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Лето,3,12,164064.0,5
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Осень,9,10,380160.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,7,15,405160.0,2
Нижегородские загадки.,Нижегородская область,Зима,11,4,229064.0,4
Тайга и народные традиции Сибири,Алтай,Осень,14,14,771904.0,3
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,9,4,188208.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Весна,2,16,127520.0,2
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Лето,14,12,631568.0000000001,5
Сказочный Удельный парк: круглый год,Санкт-Петербург,Весна,9,17,530640.0,2
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Весна,4,20,289600.0,2
Волшебный лед Ольхона,Байкал,Зима,8,4,198080.0,2
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,12,13,597204.0,5
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Зима,2,3,43616.0,2
Ледовый экспресс Байкала,Байкал,Зима,8,3,168560.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Осень,8,15,437120.0,4
Водный мир Приладожья,Карелия,Лето,10,18,722440.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,5,21,352400.0,2
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,2,8,65632.0,4
Байкал: активный тур на круглый год,Байкал,Осень,12,15,789600.0,3
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Лето,9,11,432342.0,1
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Лето,6,4,133416.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,8,11,361424.0,5
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Осень,5,9,178340.0,3
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,11,14,724460.0,4
Калуга и другие города Центральной России,Калужская область,Весна,9,9,294120.0,5
Восхождение на Белуху за 10 дней,Алтай,Лето,7,11,336266.0,4
Калининградская осень: природа и история,Калининградская область,Осень,12,21,869952.0,5
Сокровища Карелии и Соловки,Карелия,Лето,1,16,65328.0,5
Московский калейдоскоп. Сокращенная программа,Москва,Осень,12,15,588720.0,5
Калуга и другие города Центральной России,Калужская область,Осень,6,5,138120.0,5
Калининградская осень: природа и история,Калининградская область,Осень,1,10,39760.0,5
Калмыкия на 100%,Калмыкия,Весна,11,4,247280.0,2
Тайны Забайкалья: природа и история,Забайкальский край,Осень,8,20,635520.0,3
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,5,20,471600.0,5
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,3,18,274188.0,4
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,3,19,211944.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,7,5,196000.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,12,9,508800.0,5
Карельские узоры,Карелия,Весна,7,12,332080.0,4
Сказочная осень в Татарстане,Татарстан,Осень,1,14,49927.99999999999,2
Волшебный лед Ольхона,Байкал,Зима,12,8,474240.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,8,9,283688.0,2
Природа и культура Вологодчины,Вологодская область,Весна,1,7,28480.0,3
Байкал: активный тур на круглый год,Байкал,Лето,6,19,514860.0,5
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,2,18,182792.0,4
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,12,20,886080.0,4
Кавказ стал ближе,Кавказ,Лето,12,18,866928.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,9,7,353466.0,2
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,8,5,218320.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,1,16,56816.0,5
Камчатка: природа и активные виды отдыха,Камчатка,Лето,6,16,494112.0,5
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Зима,4,10,167920.0,4
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,2,6,71072.0,5
Золотая осень в Карелии,Карелия,Осень,7,11,318248.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,14,21,899402.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,8,12,365696.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,4,17,259232.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Весна,8,7,268160.0,3
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,6,17,358452.0,2
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,5,11,225890.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,7,4,149856.0,4
Центр России: экскурсии по Туле,Тульская область,Зима,6,9,206124.0,1
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,7,15,544810.0,3
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,13,4,277108.0,5
Нижегородские загадки.,Нижегородская область,Лето,14,6,385784.00000000006,3
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,14,18,827456.0,5
Калининградская осень: природа и история,Калининградская область,Осень,14,5,348320.0,5
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,9,20,808200.0,4
Сплав по реке к Байкалу,Байкал,Лето,5,18,409100.0,5
Сокровища Карелии и Соловки,Карелия,Лето,12,13,659448.0,5
Калуга и другие города Центральной России,Калужская область,Осень,1,5,23020.0,4
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,9,5,281520.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,13,5,297895.0,4
Я шагаю по Москве. Сокращённая программа,Москва,Зима,11,7,308891.0,5
Дагестан стал ближе,Дагестан,Зима,11,13,549725.0,5
Тайны Забайкалья: природа и история,Забайкальский край,Весна,10,17,671200.0,2
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,1,4,22480.0,5
Сказочная осень в Татарстане,Татарстан,Осень,9,19,577692.0,3
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Зима,9,20,665640.0,3
Тюльпаны и горы: весенний Алтай,Алтай,Весна,9,7,286560.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Осень,8,4,175232.0,3
"Костромская область: говорят, что здесь живут сказки",Костромская область,Осень,10,20,645600.0,3
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Осень,7,21,471016.0,3
Восхождение на Белуху за 10 дней,Алтай,Лето,2,11,96076.0,5
Исторические городки Поволжья,Татарстан,Лето,3,13,149301.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,10,12,442239.99999999994,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Лето,7,20,554120.0,3
Саяны: осенние краски,Республика Тыва,Осень,14,20,1112160.0,4
Центр России: экскурсии по Туле,Тульская область,Весна,4,10,145600.0,2
Активный треккинг на Байкале,Байкал,Лето,11,12,636680.0,3
Кострома и ее усадьбы: время путешествий,Костромская область,Зима,1,11,39766.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,9,9,303840.0,3
Знакомство с Сахалином,Сахалин,Лето,10,20,951200.0,4
Кавказ стал ближе,Кавказ,Весна,3,12,142320.0,3
Природа и культура Вологодчины,Вологодская область,Лето,8,12,360896.00000000006,4
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,14,4,287840.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,2,21,144992.0,2
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,11,7,304040.0,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Зима,7,9,248227.0,4
Центр России: экскурсии по Туле,Тульская область,Лето,7,14,356748.00000000006,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,1,3,20800.0,2
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,5,3,104000.0,1
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,2,13,88640.0,3
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,9,17,485199.0,1
Зимние узоры Байкала,Байкал,Зима,9,5,256050.0,5
Поход к подножию Белухи. Алтай,Алтай,Лето,5,5,136450.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,13,7,389531.99999999994,3
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,10,10,499000.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Весна,6,5,153600.0,4
Сплав по реке Верхняя Шуя,Карелия,Лето,1,8,37664.0,2
Походы по осенним тропам Кавказа,Краснодарский край,Осень,9,12,398015.99999999994,5
Дагестан стал ближе,Дагестан,Зима,2,20,143000.0,4
Вулканы Камчатки,Камчатка,Лето,1,14,73308.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Весна,13,14,610480.0,4
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,9,10,353340.0,4
Московский калейдоскоп. Сокращенная программа,Москва,Лето,6,16,328128.0,3
Калининградская осень: природа и история,Калининградская область,Осень,10,17,605920.0,3
Большое путешествие по Смоленской земле,Смоленская область,Весна,10,19,601600.0,4
В Карелию летом на 4 дня,Карелия,Лето,5,20,395800.0,4
Кавказ! Жили-были,Кавказ,Осень,11,20,819280.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,8,17,514928.0,3
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,5,3,109850.0,3
Нижегородские усадьбы,Нижегородская область,Лето,7,11,295302.00000000006,3
Тайга и озера: путешествие по Тверской области,Тверская область,Осень,9,14,433728.00000000006,3
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,10,21,856000.0,4
Байкал: активный тур на круглый год,Байкал,Осень,9,19,726120.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,1,12,48304.0,2
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,12,18,762816.0,4
Вулканы Камчатки,Камчатка,Лето,5,20,502200.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,9,15,475020.0,4
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Лето,11,6,320672.0,3
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,6,20,376800.0,5
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,1,7,37930.0,2
Сокровища Карелии и Соловки,Карелия,Лето,4,5,109160.0,3
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Лето,6,8,200448.0,3
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,6,3,117564.0,5
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,4,11,160032.0,5
Сокровища Карелии и Соловки,Карелия,Лето,5,19,378510.0,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,11,18,743204.0,4
Калуга и другие города Центральной России,Калужская область,Зима,9,6,229482.0,5
Тайны Забайкалья: природа и история,Забайкальский край,Зима,11,17,754028.0,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,8,9,367280.0,4
Сплав по реке к Байкалу,Байкал,Лето,14,12,810320.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,1,16,50320.0,5
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,7,14,483168.0,3
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,3,14,205644.0,4
Лед Байкала и величие Саян,Байкал,Зима,14,11,708260.0,3
Калининградская область: исторические маршруты,Калининградская область,Зима,14,5,346640.0,3
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,13,12,787696.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Лето,12,7,432816.0,5
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,7,5,165480.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Лето,12,15,622740.0,1
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,14,8,612192.0,4
Водный мир Приладожья,Карелия,Лето,10,18,722440.0,2
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,14,18,1047200.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,1,19,75702.0,5
Сердце России: Гора Белуха и Алтай,Алтай,Осень,1,9,39016.0,4
Сибирские каникулы,Сибирь,Зима,7,21,576267.9999999999,5
Водный мир Приладожья,Карелия,Лето,10,9,411220.0,4
Калининградская область: исторические маршруты,Калининградская область,Весна,7,4,150640.0,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,5,15,254600.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,6,8,209760.0,5
Ледовый экспресс Байкала,Байкал,Зима,3,13,173910.0,2
Ледниковый период на зимнем Байкале,Байкал,Зима,1,16,69040.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,2,15,130700.0,4
Золотая осень в Карелии,Карелия,Осень,3,11,136392.0,4
Зима в Карелии 3 дня,Карелия,Зима,10,6,291880.0,2
Водный мир Приладожья,Карелия,Лето,13,20,1029080.0,4
Золотая осень в Карелии,Карелия,Осень,10,21,777040.0,4
Ольхон — сердце Байкала,Байкал,Лето,11,16,812240.0,2
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,3,3,53760.0,4
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Зима,7,6,204316.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Осень,9,15,525240.0,2
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,5,11,200040.0,4
Ольхон — сердце Байкала,Байкал,Лето,7,14,461020.0,2
Большое путешествие по Смоленской земле,Смоленская область,Лето,8,13,384304.00000000006,5
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,9,8,377280.0,4
В Карелию летом на 4 дня,Карелия,Лето,13,5,354770.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,14,15,866180.0,3
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Зима,2,10,74120.0,4
Сокровища Карелии и Соловки,Карелия,Лето,6,3,122244.0,5
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,14,10,698600.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,13,21,942448.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,7,11,289604.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Лето,2,8,79584.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,3,18,190704.0,3
Зимние кочевники Байкала,Байкал,Зима,14,5,398300.0,3
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,12,21,906240.0,4
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,10,7,332470.0,5
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,10,3,187780.0,5
Нижегородские усадьбы,Нижегородская область,Осень,6,14,289152.00000000006,3
Загадочная Москва: исторический тур,Москва,Зима,6,10,214980.0,5
Кочевники Байкала,Байкал,Лето,10,8,419200.0,5
Карельские узоры,Карелия,Лето,11,20,870760.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,12,16,686784.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Осень,6,4,125472.0,1
Поход к подножию Белухи. Алтай,Алтай,Лето,8,14,467296.0,3
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,8,21,684800.0,1
Урал: познайте дикие леса и горы,Свердловская область,Осень,4,21,279568.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,7,15,334600.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,11,16,629552.0,2
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Весна,7,11,328719.99999999994,2
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Зима,2,3,36974.0,2
Сплав по реке к Байкалу,Байкал,Лето,9,9,413190.0,2
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,7,8,323232.0,5
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,12,20,917040.0,2
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,7,3,134239.0,3
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Лето,2,4,47664.0,3
В Карелию летом на 4 дня,Карелия,Лето,4,7,136824.0,4
Исторические городки Поволжья,Татарстан,Зима,14,11,575666.0,4
Нижегородские усадьбы,Нижегородская область,Осень,3,13,136392.00000000003,3
Поход к подножию Белухи. Алтай,Алтай,Лето,8,7,273648.0,3
Ледовый экспресс Байкала,Байкал,Зима,4,12,217120.0,4
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,1,3,21970.0,5
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,1,5,23640.0,4
Кочевники Байкала,Байкал,Лето,6,5,179700.0,3
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,2,11,84372.00000000001,5
Калининградская область: исторические маршруты,Калининградская область,Осень,10,16,576160.0,5
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,12,7,382080.0,4
Зима в Карелии 3 дня,Карелия,Зима,5,9,193910.0,1
Ольхон — сердце Байкала,Байкал,Лето,5,21,468950.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,10,15,514000.0,5
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,13,14,626496.0000000001,2
Скандинавская сказка: тур по Карелии,Республика Карелия,Зима,3,5,77970.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,6,4,125472.0,5
Калмыкия на 100%,Калмыкия,Весна,9,5,230400.0,5
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,7,15,369460.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,6,11,256416.0,2
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,9,13,432342.00000000006,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,10,10,419800.0,3
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Осень,9,15,558720.0,2
Центр России: экскурсии по Туле,Тульская область,Лето,10,17,597420.0,3
В Карелию летом на 4 дня,Карелия,Лето,5,17,343930.0,4
Исторические городки Поволжья,Татарстан,Весна,1,10,37600.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,14,15,738920.0,2
Я шагаю по Москве. Сокращённая программа,Москва,Осень,7,20,434560.0,3
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Осень,3,3,59016.0,5
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,8,12,484736.0,4
Сокровища Карелии и Соловки,Карелия,Лето,10,6,307480.0,5
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Лето,9,7,282717.0,3
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,5,6,161720.0,5
Дагестан стал ближе,Дагестан,Весна,1,14,52000.0,3
Большое путешествие по Смоленской земле,Смоленская область,Зима,12,11,477192.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,5,4,111180.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Зима,1,9,34354.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Лето,11,20,724460.0,1
Пять колец Кавказа. Экскурсионный тур,Кавказ,Лето,12,8,451968.0,2
Зима в Карелии 3 дня,Карелия,Зима,3,11,135534.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Зима,2,9,77564.0,4
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,11,21,1093136.0,5
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,13,8,454480.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,12,5,289740.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,12,6,325343.99999999994,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,9,16,664560.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,6,11,303540.0,5
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,6,13,265920.0,5
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,10,9,363340.0,3
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,4,12,240736.0,4
Калмыкия на 100%,Калмыкия,Весна,2,4,44960.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,2,20,144800.0,5
Зеленая весна в Краснодаре,Краснодарский край,Весна,8,6,212479.99999999997,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,2,4,44472.0,4
Исторические городки Поволжья,Татарстан,Весна,9,21,611640.0,4
